Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,0684823780,9780684823782,0,4.32,Touchstone Books,Paperback,191,1996,1942,,7/27/19,,,read,,,,1,,,0,,,,,
27140043,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,,,0,4.32,Vintage,Kindle Edition,235,2015,1983,,1/21/20,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
17662910,Digital Disconnect: How Capitalism is Turning the Internet Against Democracy,Robert W. McChesney,"McChesney, Robert W.",,,9781565588678,0,3.97,The New Press,Hardcover,320,2013,2013,,11/25/18,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
52027218,Always Day One: How the Tech Titans Plan to Stay on Top Forever,Alex Kantrowitz,"Kantrowitz, Alex",,0593083482,9780593083482,2,3.88,Portfolio,Hardcover,272,2020,,7/6/20,7/5/20,,,read,,,,1,,,0,,,,,
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,0385732554,9780385732550,0,4.13,Ember,Paperback,208,2006,1993,,7/27/19,,,read,,,,1,,,0,,,,,
499353,The Creation of Patriarchy,Gerda Lerner,"Lerner, Gerda",,0195051858,9780195051858,0,4.27,Oxford University Press,Paperback,318,1987,1986,,12/4/18,,,read,,,,1,,,0,,,,,
52032133,Facebook: The Inside Story,Steven Levy,"Levy, Steven",,0735213151,9780735213159,4,4.1,Blue Rider Press,Hardcover,592,2020,2020,3/8/20,3/8/20,,,read,,,,1,,,0,,,,,
385228,On Liberty,John Stuart Mill,"Mill, John Stuart",,,,0,3.97,Penguin Classics,Paperback,187,1985,1859,,7/28/20,,,read,,,,1,,,0,,,,,
36166010,Self-Reliance and Other Essays,Ralph Waldo Emerson,"Emerson, Ralph Waldo",,,,0,4.14,AmazonClassics,Kindle Edition,194,2017,1844,,1/24/21,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
53530067,Very Important People: Status and Beauty in the Global Party Circuit,Ashley Mears,"Mears, Ashley",,,,0,3.71,,Kindle Edition,,2020,,5/2/21,4/17/21,,,read,,,,1,,,0,,,,,
